Price,Close,High,Low,Open,Volume
Ticker,BOP,BOP,BOP,BOP,BOP
Date,,,,,
2005-11-09,3.7140300273895264,3.7140300273895264,3.7140300273895264,3.7140300273895264,549914
2005-11-10,3.7140300273895264,3.7140300273895264,3.7140300273895264,3.7140300273895264,0
2005-11-11,5.75,5.75,5.75,5.75,0
2005-11-14,3.3587799072265625,3.3587799072265625,3.3587799072265625,3.3587799072265625,412900
2005-11-15,3.3587799072265625,3.3587799072265625,3.3587799072265625,3.3587799072265625,0
2005-11-16,3.190840005874634,3.190840005874634,3.190840005874634,3.190840005874634,279292
2005-11-17,3.0358200073242188,3.0358200073242188,3.0358200073242188,3.0358200073242188,19042
2005-11-18,4.699999809265137,4.699999809265137,4.699999809265137,4.699999809265137,0
2005-11-21,2.7451601028442383,2.7451601028442383,2.7451601028442383,2.7451601028442383,0
2005-11-22,2.8808000087738037,2.8808000087738037,2.8808000087738037,2.8808000087738037,614628
2005-11-23,3.022900104522705,3.022900104522705,3.022900104522705,3.022900104522705,45981
2005-11-25,4.909999847412109,4.909999847412109,4.909999847412109,4.909999847412109,0
2005-11-28,3.48796010017395,3.48796010017395,3.48796010017395,3.48796010017395,93665
2005-11-29,3.6623599529266357,3.6623599529266357,3.6623599529266357,3.6623599529266357,369551
2005-11-30,3.8432199954986572,3.8432199954986572,3.8432199954986572,3.8432199954986572,319080
2005-12-01,3.9917800426483154,3.9917800426483154,3.9917800426483154,3.9917800426483154,98309
2005-12-02,6.179999828338623,6.179999828338623,6.179999828338623,6.179999828338623,0
2005-12-05,4.198470115661621,4.198470115661621,4.198470115661621,4.198470115661621,113017
2005-12-06,4.359950065612793,4.359950065612793,4.359950065612793,4.359950065612793,177266
2005-12-07,4.295360088348389,4.295360088348389,4.295360088348389,4.295360088348389,239658
2005-12-08,4.359950065612793,4.359950065612793,4.359950065612793,4.359950065612793,94439
2005-12-09,6.75,6.75,6.75,6.75,0
2005-12-12,4.049910068511963,4.049910068511963,4.049910068511963,4.049910068511963,165191
2005-12-13,4.1015801429748535,4.1015801429748535,4.1015801429748535,4.1015801429748535,68429
2005-12-14,4.030529975891113,4.030529975891113,4.030529975891113,4.030529975891113,102644
2005-12-15,4.0692901611328125,4.0692901611328125,4.0692901611328125,4.0692901611328125,69048
2005-12-16,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,0
2005-12-19,3.9530200958251953,3.9530200958251953,3.9530200958251953,3.9530200958251953,64714
2005-12-20,3.9400999546051025,3.9400999546051025,3.9400999546051025,3.9400999546051025,117661
2005-12-21,3.9078099727630615,3.9078099727630615,3.9078099727630615,3.9078099727630615,61927
2005-12-22,3.7140300273895264,3.7140300273895264,3.7140300273895264,3.7140300273895264,6966
2005-12-23,5.75,5.75,5.75,5.75,0
2005-12-27,3.8690500259399414,3.8690500259399414,3.8690500259399414,3.8690500259399414,45361
2005-12-28,3.6817400455474854,3.6817400455474854,3.6817400455474854,3.6817400455474854,34524
2005-12-29,3.6817400455474854,3.6817400455474854,3.6817400455474854,3.6817400455474854,0
2005-12-30,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,0
2006-01-03,3.7140300273895264,3.7140300273895264,3.7140300273895264,3.7140300273895264,47529
2006-01-04,3.6817400455474854,3.6817400455474854,3.6817400455474854,3.6817400455474854,43349
2006-01-05,3.6817400455474854,3.6817400455474854,3.6817400455474854,3.6817400455474854,13159
2006-01-06,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,0
2006-01-09,3.804460048675537,3.804460048675537,3.804460048675537,3.804460048675537,0
2006-01-10,3.804460048675537,3.804460048675537,3.804460048675537,3.804460048675537,0
2006-01-11,3.804460048675537,3.804460048675537,3.804460048675537,3.804460048675537,0
2006-01-12,3.804460048675537,3.804460048675537,3.804460048675537,3.804460048675537,0
2006-01-13,5.889999866485596,5.889999866485596,5.889999866485596,5.889999866485596,0
2006-01-17,3.6300599575042725,3.6300599575042725,3.6300599575042725,3.6300599575042725,74777
2006-01-18,3.5525500774383545,3.5525500774383545,3.5525500774383545,3.5525500774383545,32047
2006-01-19,3.5848500728607178,3.5848500728607178,3.5848500728607178,3.5848500728607178,37311
2006-01-20,5.550000190734863,5.550000190734863,5.550000190734863,5.550000190734863,0
2006-01-23,3.6688199043273926,3.6688199043273926,3.6688199043273926,3.6688199043273926,23532
2006-01-24,3.8303000926971436,3.8303000926971436,3.8303000926971436,3.8303000926971436,98619
2006-01-25,3.8303000926971436,3.8303000926971436,3.8303000926971436,3.8303000926971436,0
2006-01-26,3.6429800987243652,3.6429800987243652,3.6429800987243652,3.6429800987243652,69048
2006-01-27,3.6429800987243652,3.6429800987243652,3.6429800987243652,3.6429800987243652,0
2006-01-30,3.462130069732666,3.462130069732666,3.462130069732666,3.462130069732666,1857
2006-01-31,3.462130069732666,3.462130069732666,3.462130069732666,3.462130069732666,0
2006-02-01,3.462130069732666,3.462130069732666,3.462130069732666,3.462130069732666,0
2006-02-02,3.3071000576019287,3.3071000576019287,3.3071000576019287,3.3071000576019287,46445
2006-02-03,3.3071000576019287,3.3071000576019287,3.3071000576019287,3.3071000576019287,0
2006-02-06,3.3910698890686035,3.3910698890686035,3.3910698890686035,3.3910698890686035,928
2006-02-07,3.5590100288391113,3.5590100288391113,3.5590100288391113,3.5590100288391113,3406
2006-02-08,3.733409881591797,3.733409881591797,3.733409881591797,3.733409881591797,1083
2006-02-09,3.810920000076294,3.810920000076294,3.810920000076294,3.810920000076294,158998
2006-02-10,3.810920000076294,3.810920000076294,3.810920000076294,3.810920000076294,0
